Parameters:
patient_inter=6; mean_n_consult_time=8; number_of_nurses=1; warm_up_period=0; data_collection_period=30; number_of_runs=1; scenario_name=NULL; log_to_console=TRUE; log_to_file=TRUE; file_path=../outputs/logs/log_example.log; cores=1
Log:
         0 |    source: patient          |       new: patient0         | 1.10422
   1.10422 |   arrival: patient0         |  activity: Seize            | nurse, 1, 0 paths
   1.10422 |  resource: nurse            |   arrival: patient0         | SERVE
   1.10422 |    source: patient          |       new: patient1         | 1.97846
   1.10422 |   arrival: patient0         |  activity: Timeout          | function()
   1.97846 |   arrival: patient1         |  activity: Seize            | nurse, 1, 0 paths
   1.97846 |  resource: nurse            |   arrival: patient1         | ENQUEUE
   1.97846 |    source: patient          |       new: patient2         | 4.59487
   2.22258 |   arrival: patient0         |  activity: Release          | nurse, 1
   2.22258 |  resource: nurse            |   arrival: patient0         | DEPART
   2.22258 |      task: Post-Release     |          :                  | 
   2.22258 |  resource: nurse            |   arrival: patient1         | SERVE
   2.22258 |   arrival: patient1         |  activity: Timeout          | function()
   4.59487 |   arrival: patient2         |  activity: Seize            | nurse, 1, 0 paths
   4.59487 |  resource: nurse            |   arrival: patient2         | ENQUEUE
   4.59487 |    source: patient          |       new: patient3         | 11.9722
   11.9722 |   arrival: patient3         |  activity: Seize            | nurse, 1, 0 paths
   11.9722 |  resource: nurse            |   arrival: patient3         | ENQUEUE
   11.9722 |    source: patient          |       new: patient4         | 15.2103
   15.2103 |   arrival: patient4         |  activity: Seize            | nurse, 1, 0 paths
   15.2103 |  resource: nurse            |   arrival: patient4         | ENQUEUE
   15.2103 |    source: patient          |       new: patient5         | 20.9497
   20.9497 |   arrival: patient5         |  activity: Seize            | nurse, 1, 0 paths
   20.9497 |  resource: nurse            |   arrival: patient5         | ENQUEUE
   20.9497 |    source: patient          |       new: patient6         | 21.832
    21.832 |   arrival: patient6         |  activity: Seize            | nurse, 1, 0 paths
    21.832 |  resource: nurse            |   arrival: patient6         | ENQUEUE
    21.832 |    source: patient          |       new: patient7         | 30.1764
   25.3823 |   arrival: patient1         |  activity: Release          | nurse, 1
   25.3823 |  resource: nurse            |   arrival: patient1         | DEPART
   25.3823 |      task: Post-Release     |          :                  | 
   25.3823 |  resource: nurse            |   arrival: patient2         | SERVE
   25.3823 |   arrival: patient2         |  activity: Timeout          | function()
